iterasyon 94, epoch 95/100, Loss: 5.9437, Learning rate: 1e-05, MSE Loss: 0.0452, CE Loss: 5.8986, Accuracy: 8.97%
iterasyon 95, epoch 96/100, Loss: 5.9363, Learning rate: 1e-05, MSE Loss: 0.0448, CE Loss: 5.8915, Accuracy: 8.97%
iterasyon 96, epoch 97/100, Loss: 5.9289, Learning rate: 1e-05, MSE Loss: 0.0444, CE Loss: 5.8845, Accuracy: 8.97%
iterasyon 97, epoch 98/100, Loss: 5.9215, Learning rate: 1e-05, MSE Loss: 0.0440, CE Loss: 5.8774, Accuracy: 8.97%
iterasyon 98, epoch 99/100, Loss: 5.9141, Learning rate: 1e-05, MSE Loss: 0.0437, CE Loss: 5.8704, Accuracy: 10.26%
iterasyon 99, epoch 100/100, Loss: 5.9068, Learning rate: 1e-05, MSE Loss: 0.0433, CE Loss: 5.8634, Accuracy: 10.26%
iterasyon 0, epoch 1/100, Loss: 5.8993, Learning rate: 1e-05, MSE Loss: 0.0430, CE Loss: 5.8563, Accuracy: 10.26%
iterasyon 1, epoch 2/100, Loss: 5.8920, Learning rate: 1e-05, MSE Loss: 0.0427, CE Loss: 5.8494, Accuracy: 10.26%
iterasyon 2, epoch 3/100, Loss: 5.8847, Learning rate: 1e-05, MSE Loss: 0.0423, CE Loss: 5.8424, Accuracy: 10.26%
iterasyon 3, epoch 4/100, Loss: 5.8776, Learning rate: 1e-05, MSE Loss: 0.0420, CE Loss: 5.8355, Accuracy: 10.26%
iterasyon 4, epoch 5/100, Loss: 5.8703, Learning rate: 1e-05, MSE Loss: 0.0417, CE Loss: 5.8286, Accuracy: 10.26%
iterasyon 5, epoch 6/100, Loss: 5.8631, Learning rate: 1e-05, MSE Loss: 0.0414, CE Loss: 5.8217, Accuracy: 10.26%
iterasyon 6, epoch 7/100, Loss: 5.8559, Learning rate: 1e-05, MSE Loss: 0.0411, CE Loss: 5.8148, Accuracy: 10.26%
iterasyon 7, epoch 8/100, Loss: 5.8488, Learning rate: 1e-05, MSE Loss: 0.0408, CE Loss: 5.8080, Accuracy: 10.26%
iterasyon 8, epoch 9/100, Loss: 5.8416, Learning rate: 1e-05, MSE Loss: 0.0405, CE Loss: 5.8011, Accuracy: 10.26%
iterasyon 9, epoch 10/100, Loss: 5.8345, Learning rate: 1e-05, MSE Loss: 0.0402, CE Loss: 5.7942, Accuracy: 10.26%
iterasyon 10, epoch 11/100, Loss: 5.8274, Learning rate: 1e-05, MSE Loss: 0.0400, CE Loss: 5.7874, Accuracy: 10.26%
iterasyon 11, epoch 12/100, Loss: 5.8203, Learning rate: 1e-05, MSE Loss: 0.0397, CE Loss: 5.7806, Accuracy: 11.54%
iterasyon 12, epoch 13/100, Loss: 5.8133, Learning rate: 1e-05, MSE Loss: 0.0394, CE Loss: 5.7739, Accuracy: 11.54%
iterasyon 13, epoch 14/100, Loss: 5.8062, Learning rate: 1e-05, MSE Loss: 0.0392, CE Loss: 5.7670, Accuracy: 11.54%
iterasyon 14, epoch 15/100, Loss: 5.7992, Learning rate: 1e-05, MSE Loss: 0.0389, CE Loss: 5.7602, Accuracy: 11.54%
iterasyon 15, epoch 16/100, Loss: 5.7922, Learning rate: 1e-05, MSE Loss: 0.0387, CE Loss: 5.7535, Accuracy: 11.54%
iterasyon 16, epoch 17/100, Loss: 5.7852, Learning rate: 1e-05, MSE Loss: 0.0385, CE Loss: 5.7467, Accuracy: 11.54%
iterasyon 17, epoch 18/100, Loss: 5.7782, Learning rate: 1e-05, MSE Loss: 0.0383, CE Loss: 5.7399, Accuracy: 11.54%
iterasyon 18, epoch 19/100, Loss: 5.7713, Learning rate: 1e-05, MSE Loss: 0.0380, CE Loss: 5.7333, Accuracy: 11.54%
iterasyon 19, epoch 20/100, Loss: 5.7644, Learning rate: 1e-05, MSE Loss: 0.0378, CE Loss: 5.7266, Accuracy: 11.54%
iterasyon 20, epoch 21/100, Loss: 5.7575, Learning rate: 1e-05, MSE Loss: 0.0376, CE Loss: 5.7199, Accuracy: 11.54%
iterasyon 21, epoch 22/100, Loss: 5.7506, Learning rate: 1e-05, MSE Loss: 0.0374, CE Loss: 5.7132, Accuracy: 11.54%
iterasyon 22, epoch 23/100, Loss: 5.7437, Learning rate: 1e-05, MSE Loss: 0.0372, CE Loss: 5.7065, Accuracy: 11.54%
iterasyon 23, epoch 24/100, Loss: 5.7369, Learning rate: 1e-05, MSE Loss: 0.0370, CE Loss: 5.6999, Accuracy: 12.82%
iterasyon 24, epoch 25/100, Loss: 5.7301, Learning rate: 1e-05, MSE Loss: 0.0368, CE Loss: 5.6932, Accuracy: 14.10%
iterasyon 25, epoch 26/100, Loss: 5.7233, Learning rate: 1e-05, MSE Loss: 0.0367, CE Loss: 5.6866, Accuracy: 16.67%
